index,htg_sp,clg_sp,wwr,insulation_thickness,carbon_emissons,discomfort_hours
1,18,27,0.200129672493411,0.499923446719422,215529.003,3507
2,22,24,0.200129539569529,0.499844283523532,246615.2003,648.33
3,22,25.5,0.200129477062197,0.499925050742691,234310.6329,660.17
4,22,26,0.200129476983437,0.499926106734337,231219.6736,927.17
5,18.5,25.5,0.200129607719224,0.499931528510673,221598.2545,2035.5
6,21,26,0.200129476983437,0.499852815700212,226450.2648,1824.5
7,21,25.5,0.200129531418432,0.499808378596312,228949.6406,1585.33
8,18,26,0.200129476983437,0.499925996098089,219264.6596,2238.83
9,18.5,26.5,0.200129531418432,0.499852815700212,217892.2394,2963.83
10,18,25.5,0.200129476983437,0.499925050742691,220867.3971,2042.5
11,21,26,0.200129460608476,0.499852815700212,226450.2648,1824.5
12,18.5,27,0.200129460608476,0.498231333160009,216074.3847,3499.33
13,18,26.5,0.200129476983437,0.499926289306117,217300.2814,2971.33
14,22,26.5,0.200129531454961,0.499872103964992,228052.5249,1711.5
15,22,26.5,0.200129678113344,0.49917520563182,228055.7683,1710.67
16,18.5,26,0.200129477207749,0.499890438478709,219917.2854,2231.5
17,18.5,26,0.200129476983437,0.499890438478709,219917.2854,2231.5
18,18.5,26.5,0.200129477178428,0.499925850439728,217892.0801,2964
19,18,26.5,0.200129678113344,0.499852815700212,217300.4265,2971.17
20,18.5,27,0.200129476814374,0.499931528510673,216071.1251,3499.5
